"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='0deg'"
-90,-11.359972999644
-89,-14.0173016195922
-88,-13.6160999138012
-87,-11.3583031351303
-86,-10.6173177496549
-85,-11.5769029140284
-84,-13.1427556652742
-83,-12.7464343987541
-82,-10.9305838475215
-81,-9.87684145637601
-80,-10.0852667079089
-79,-11.0725193736354
-78,-10.8335273769102
-77,-8.81718370282212
-76,-7.35673662213311
-75,-7.51403926319863
-74,-9.24557913392895
-73,-10.2576227786436
-72,-8.30659594762255
-71,-6.89642886934043
-70,-7.71436341139658
-69,-11.501893857573
-68,-15.9020681539302
-67,-11.3483714350812
-66,-8.95362606234883
-65,-9.52953934465924
-64,-11.1291337741839
-63,-8.49197654879417
-62,-4.76509691097743
-61,-2.72463582835557
-60,-2.35475894920809
-59,-3.443727579251
-58,-5.14229839635564
-57,-5.12920228595943
-56,-3.76223944514682
-55,-3.36700092384845
-54,-4.56160769386533
-53,-6.32555270285666
-52,-5.45336335116144
-51,-3.12253055022902
-50,-1.79924731040371
-49,-1.82944124761275
-48,-3.3626310816498
-47,-7.31812079611041
-46,-20.2082336081484
-45,-11.0278108071075
-44,-4.4651399338507
-43,-2.13048948906519
-42,-2.04015074582372
-41,-3.81339817701755
-40,-7.28890943561515
-39,-11.0782229198414
-38,-12.059114659541
-37,-10.5847148006173
-36,-6.93633461470164
-35,-3.39761424436002
-34,-1.33824193379885
-33,-0.982825848587544
-32,-2.65088550511778
-31,-7.69132440392057
-30,-14.1430648846853
-29,-4.59419346816026
-28,-0.275105340790836
-27,1.50547707673903
-26,1.66495626139426
-25,0.615650138538665
-24,-0.6881480568377
-23,-0.27944775514337
-22,1.38723931871149
-21,2.35741923509314
-20,1.93316023287285
-19,0.37333643029695
-18,0.548701174294758
-17,3.77215370302215
-16,6.45813376609523
-15,7.5675294455162
-14,6.9537892366406
-13,4.64829313421151
-12,4.02068592994633
-11,8.05191277210307
-10,11.2153545453432
-9,12.3495214808756
-8,10.9967504770074
-7,4.11438231622988
-6,6.70654125674625
-5,16.6507609530857
-4,21.7257640274194
-3,24.9045248613684
-2,26.9196121669384
-1,28.0513384922089
0,28.4181809085102
1,28.0535240802596
2,26.9229773068181
3,24.9064375274712
4,21.7197656959204
5,16.6171348188358
6,6.53191998524218
7,4.4257620177188
8,11.1680106558129
9,12.4872806490961
10,11.3227220519275
11,8.05871213415176
12,3.64218314611247
13,4.27254275067463
14,6.83431940492043
15,7.56167265211201
16,6.50833204247663
17,3.83281930468885
18,0.495682413047628
19,0.215851659766553
20,1.86427067924066
21,2.37733196093937
22,1.46031232918689
23,-0.265489230282208
24,-0.88754353388464
25,0.3778577387921
26,1.5605688906426
27,1.60656301150217
28,0.141591545260539
29,-3.52509828770755
30,-11.6287426192099
31,-9.7547372894939
32,-3.83507830290285
33,-1.80869102067897
34,-2.00582042267632
35,-4.0343823650923
36,-7.70972279967303
37,-11.7387371924588
38,-13.762080203477
39,-13.0824944995049
40,-8.46071794068072
41,-4.52958911895434
42,-2.63859501870224
43,-2.79289906901141
44,-5.42294415247883
45,-13.0968218539462
46,-15.003914764426
47,-6.16083447227019
48,-2.91687139422774
49,-1.78604418710322
50,-2.03887375618659
51,-3.46734850416868
52,-5.41515987463056
53,-5.50187201818853
54,-3.7081161765581
55,-2.55852654818283
56,-2.7004215949821
57,-3.64174573514381
58,-3.93027118842388
59,-2.98915698877134
60,-2.24381934872401
61,-2.69813436652172
62,-4.82533614484827
63,-9.15460561449613
64,-13.9045170066971
65,-11.924762933468
66,-11.0372948488966
67,-13.8148395025198
68,-15.6657354692183
69,-9.9847784536579
70,-6.877534901597
71,-6.28880589089369
72,-7.4907595788452
73,-8.9317968335785
74,-8.23182878898468
75,-6.91072837928426
76,-6.81984112556218
77,-8.20441055597836
78,-10.3108878018053
79,-10.8952551862107
80,-10.00371298474
81,-9.87355073761117
82,-11.2020759236347
83,-13.3509693847786
84,-13.5794018738072
85,-11.944241195734
86,-11.2314989350279
87,-12.2232320856891
88,-14.460214083594
89,-14.4780943074744
90,-11.8938011435022
